Rank,Player Name,Club,Position,Minutes Played,Matches Played,Goals,Assists,Distance Covered (km),Top Speed (km/h)
359,Cardona,Villarreal,Defender,475,8,0,0,62.6,31.7
361,Adama Boiro,Athletic Club,Defender,473,6,0,0,55.2,33.3
362,Gakpo,Liverpool,Forward,472,11,2,2,56.2,33.5
363,Paixão,Marseille,Forward,471,8,4,1,57,33.6
363,Madueke,Arsenal,Midfielder,471,7,3,0,52.9,34.9
365,Guruzeta,Athletic Club,Forward,469,7,5,0,57.1,31.5
366,Morita,Sporting CP,Midfielder,468,11,0,0,60.1,31
367,Frimpong,Liverpool,Defender,464,9,0,1,51.7,36.3
367,Karl,Bayern München,Midfielder,464,7,4,2,59.3,32.9
369,Man,PSV,Forward,460,8,2,0,55.8,34.3
370,L. Martínez,Inter,Forward,459,8,4,0,53.6,31.9
371,Dest,PSV,Defender,457,6,0,1,57.2,34.3
372,Itakura,Ajax,Defender,456,6,0,0,50.3,33.1
373,Fabián Ruiz,Paris,Midfielder,453,6,1,1,49.4,31.5
374,Yunus Akgün,Galatasaray,Forward,452,9,2,0,51.7,32.7
374,Jauregizar,Athletic Club,Midfielder,452,7,0,2,58.2,30.8
376,Kolo Muani,Tottenham,Forward,451,9,4,2,54.1,34.2
376,Hincapié,Arsenal,Defender,451,7,0,0,53.8,33.9
376,Chorý,Slavia Praha,Forward,451,7,0,0,53.4,31.4
379,Brandt,B. Dortmund,Midfielder,450,9,3,0,47.4,31.6
379,White,Arsenal,Defender,450,9,0,1,56,32.2
379,Dorley,Slavia Praha,Defender,450,5,0,0,55.5,32.1
379,Lerager,Copenhagen,Midfielder,450,5,0,0,55.4,30.3
379,Aguerd,Marseille,Defender,450,5,0,0,53.8,33.5
379,Martynovich,Kairat Almaty,Defender,450,5,0,0,49.6,32.8
379,Zetterer,Frankfurt,Goalkeeper,450,5,0,0,29.3,25.1
379,Luiz Júnior,Villarreal,Goalkeeper,450,5,0,0,29,28.1
387,Zafeiris,Slavia Praha,Midfielder,449,6,0,0,59.3,30.7
388,Olmo,Barcelona,Forward,448,10,1,1,54.7,34.2
389,Gatti,Juventus,Defender,447,5,2,0,37.7,32.2
390,Eduardo Quaresma,Sporting CP,Defender,446,7,0,0,49.6,32.7
391,Ronald Araújo,Barcelona,Defender,445,10,0,0,48,33.8
391,Gorosabel,Athletic Club,Defender,445,7,0,0,55.7,32.2
393,Collins,Frankfurt,Defender,444,6,0,0,51.8,32.1
394,Trossard,Arsenal,Midfielder,443,8,1,4,53.4,32.1
395,Salisu,Monaco,Defender,442,5,0,0,46.9,31.6
396,Satpayev,Kairat Almaty,Forward,440,5,1,0,51.3,34.6
